date,peak_reading,offpeak_reading,feedin_reading,PV_reading,PVhours_reading,water_reading
2009/05/30,1872,3195,888,1161,4362,1464727
2009/06/27,2030,3663,906,1191,4609,1471573
2009/07/30,2196,4200,932,1227,4895,1474144
2009/08/30,2303,4543,978,1286,5194,1479622
2009/09/29,2406,4865,1042,1366,5518,1480929
2009/10/30,2500,5047,1137,1478,5889,1483673
2009/11/29,2556,5047,1230,1590,6270,1492604
2009/12/27,2651,5047,1323,1702,6641,1503592
2010/01/31,2753,5090,1448,1858,7100,1526892
2010/02/28,2870,5145,1536,1977,7446,1545450
2010/03/30,2991,5254,1621,2089,7787,1562786
2010/05/01,3134,5390,1684,2176,8122,1573483
2010/05/30,3282,5783,1719,2225,8379,1580420
2010/07/03,3534,6422,1741,2262,8675,1586971
2010/07/25,3705,6907,1757,2286,8865,1588674
2010/08/29,3952,7666,1795,2344,9202,1593520
2010/10/03,4098,8090,1861,2430,9562,1597712
2010/10/31,4219,8345,1938,2534,9904,1608389
2010/11/29,4312,8415,2017,2635,10277,1617298
2010/12/31,4403,8415,2110,2752,10699,1625495
2011/01/31,4506,8421,2214,2880,11104,1641374
2011/02/28,4592,8421,2299,2986,11448,1653005
2011/03/31,4694,8462,2383,3091,11796,1655577
2011/05/01,4820,8595,2452,3179,12115,1657933
2011/05/29,4930,8916,2486,3223,12376,1659170
2011/06/29,5107,9460,2504,3255,12649,1660327
2011/07/31,5483,10221,2525,3293,12930,1665427
2011/08/30,5667,10820,2561,3357,13218,1667520
2011/09/29,5815,11172,2634,3459,13541,1669732
2011/10/31,5976,11456,2708,3569,13919,1672490
2011/11/26,6093,11474,2776,3670,14254,1679023
2012/01/01,6193,11500,2866,3810,14731,1694500
2012/01/31,6338,11511,2963,3933,15120,1706888
2012/02/29,6496,11605,3027,4038,15467,1723155
2012/04/06,6659,11661,3125,4177,15881,1728698
2012/05/02,6856,11825,3166,4242,16144,1736029
2012/06/01,7127,12355,3190,4289,16422,1740122
2012/07/01,7395,12812,3203,4319,16675,1743660
2012/07/31,7734,13466,3221,4357,16944,1746889
2012/09/01,8039,14089,3255,4413,17259,1748977
2012/09/30,8223,14504,3310,4496,17555,1753204
2012/10/31,8376,14654,3407,4622,17936,1762573
2012/11/30,8486,14662,3492,4744,18282,1772386
2012/12/31,8617,14683,3584,4865,18737,1790956
2013/01/31,8756,14696,3672,4991,19139,1812309
2013/02/28,8895,14715,3747,5105,19485,1823867
